Name,category,status,status_note
Darbar Abul Muali Qadri,Muslim Shrine,Active,"in use daily, construction ongoing"
Darbar Hazrat Shah Gohar Peer,Muslim Shrine,Active,deteriorating fabric
Darbar Malik Ahmad Ayaz,,Active,"physically constrained. Reported as occupying a small area reduced by losses in the Sikh era and by market encroachment, with access impeded by crowding in the surrounding bazaar and declining visitor enthusiasm."
Darbar Mian Qurban Ali Shah,Muslim Shrine,Active,in regular use; reconstructed 2022
