slug_hint	name	location	category
bhagnari-mandir	Bhagnari Mandir	Embankment Road, Karachi, Sindh, Pakistan	Hindu Temple
jagannath-temple-sialkot	Jagannath Temple, Sialkot	Paris Road, Mohallah Puran Nagar, Sialkot, Punjab, Pakistan	Hindu Temple
jain-mandir-lahore	Jain Mandir, Lahore	Lytton Road, Old Anarkali, Lahore, Punjab, Pakistan	Jain Temple
jhollay-lal-mandir	Jhollay Lal Mandir	Darya Lal Street, Jodia Bazaar, Karachi, Sindh, Pakistan	Hindu Temple
kali-bari-mandir	Kali Bari Mandir	Peshawar, Khyber Pakhtunkhwa, Pakistan	Hindu Temple
lal-kurti-temple-balmiki-mandir-rawalpindi	Lal Kurti Temple (Balmiki Mandir), Rawalpindi	Lalkurti, Rawalpindi Cantonment, Rawalpindi, Punjab, Pakistan	Hindu Temple
panj-tirath	Panj Tirath	Hashtnagri, Peshawar, Khyber Pakhtunkhwa, Pakistan	Hindu Temple
valmik-mandir-naqi-road	Valmik Mandir (Naqi Road)	Naqi Road, Lahore, Punjab, Pakistan	Hindu Temple
valmiki-swamiji-mandir-gracy-lines-rawalpindi	Valmiki Swamiji Mandir (Gracy Lines), Rawalpindi	Gracy Lines, Chaklala Cantonment, Rawalpindi, Punjab, Pakistan	Hindu Temple
