slug	field	status	url
gurdwara-sacha-sauda	Image 1	HTTP 404	https://commons.wikimedia.org/wiki/Special:FilePath/Photograph_of_Gurdwara_Khara_Sauda_in_Chuhar_Kana,_Sheikhupura_district,_commonly_known_as_'Gurdwara_Sacha_Sauda',_taken_by_Dhanna_Singh_Chahal_'Patialvi'_on_21_October_1933.jpg
shrine-of-sachal-sarmast	Image 1	HTTP 403	https://heritageofpakistan.org/wp-content/uploads/2025/03/Sachal-Sarmast-Shrine-43-of-89.jpg
tomb-of-qutbuddin-aibak	Image 1	HTTP 404	https://commons.wikimedia.org/wiki/Special:FilePath/Tomb%20of%20Qutb-Ud-Din%20Aibak.jpg
