slug	field	width	height	ratio	url
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 4	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-04.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-05.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-06.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-07.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-08.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-09.jpg
darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-r-a	Image 1	1600	1200	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Roof_of_Shrine_of_Hazrat_Muhammad_Suleman_Taunsvi.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-01.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-02.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 3	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-03.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 4	1200	1600	0.7500	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-04.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-05.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-06.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-07.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-08.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-09.jpg
darbar-hazrat-tahir-bandagi-qadri	Image 10	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/tahir-bandagi-qadri/tahir-bandagi-qadri-10.jpg
darbar-malik-ahmad-ayaz	Image 1	1029	1579	0.6517	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-01.jpg
darbar-malik-ahmad-ayaz	Image 2	1042	784	1.3291	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-02.jpg
darbar-malik-ahmad-ayaz	Image 3	1164	1041	1.1182	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-03.jpg
darbar-malik-ahmad-ayaz	Image 4	1600	875	1.8286	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-04.jpg
darbar-malik-ahmad-ayaz	Image 5	1012	676	1.4970	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-05.jpg
darbar-malik-ahmad-ayaz	Image 6	1032	490	2.1061	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-06.jpg
darbar-malik-ahmad-ayaz	Image 7	930	1600	0.5813	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-07.jpg
darbar-malik-ahmad-ayaz	Image 8	1052	802	1.3117	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-08.jpg
darbar-malik-ahmad-ayaz	Image 9	1039	705	1.4738	https://raufnawaz.github.io/Sufi-Shrines/photos/malik-ahmad-ayaz/malik-ahmad-ayaz-09.jpg
darbar-sakhi-shah-chan-charagh	Image 1	560	516	1.0853	https://commons.wikimedia.org/wiki/Special:FilePath/Darbar_chan_chiragh_Rawalpindi.png
darbar-wasif-ali-wasif	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-01.jpg
darbar-wasif-ali-wasif	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-02.jpg
darbar-wasif-ali-wasif	Image 3	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-03.jpg
darbar-wasif-ali-wasif	Image 4	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-04.jpg
darbar-wasif-ali-wasif	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-05.jpg
darbar-wasif-ali-wasif	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-06.jpg
darbar-wasif-ali-wasif	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-07.jpg
darbar-wasif-ali-wasif	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-08.jpg
darbar-wasif-ali-wasif	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-09.jpg
darbar-wasif-ali-wasif	Image 10	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-10.jpg
dargah-roza-sufi-shah-inayat-shaheed	Image 1	651	307	2.1205	https://commons.wikimedia.org/wiki/Special:FilePath/Sufi_Shah_Inayat_Shaheed.png
dargah-fateh-pur-sharif	Image 1	1600	1200	1.3333	https://i.tribune.com.pk/media/images/1523631-fat-1507264034/1523631-fat-1507264034.jpg
dargah-of-khwaja-muhammad-zaman-luari-sharif	Image 1	783	482	1.6245	https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_Muhammad_Zaman_of_Luari.jpg
dargah-of-pir-muhammad-rashid-roze-dhani-pir-jo-goth	Image 1	4032	3024	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Shahi_Gate_of_Dargah_Pir_Jo_Goth,_Khairpur_Mir's.jpg
dargah-pir-ratan-nath-jee	Image 1	4608	3072	1.5000	https://commons.wikimedia.org/wiki/Special:FilePath/Peshawar_Temple_Door.JPG
darya-lal-mandir-darya-lal-sankat-mochan-mandir	Image 1	438	280	1.5643	https://commons.wikimedia.org/wiki/Special:FilePath/Darya_Lal_Mandir_1.jpg
data-darbar	Image 1	500	335	1.4925	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg/500px-Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg
data-darbar	Image 2	1599	899	1.7786	https://raufnawaz.github.io/Sufi-Shrines/photos/data-darbar/data-darbar-01.jpg
eidgah-sharif	Image 1	1078	1374	0.7846	https://upload.wikimedia.org/wikipedia/commons/4/49/Eid_gah_shrine.jpg
